number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_units1,params_units2,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
1,6.512623804155737e-05,2025-01-25 00:36:58.970481,2025-01-25 00:42:09.802270,0 days 00:05:10.831789,16,0.10323034571567735,100,0.0047938912117754875,85,61,0.01081627313328411,0.00016484800172149812,0.8459074000201913,COMPLETE,0.00016484800172149812,0.01081627313328411,0.8459074000201913
2,0.0003074082196690142,2025-01-25 00:42:09.884928,2025-01-25 00:43:49.565259,0 days 00:01:39.680331,128,0.39224463471016746,110,0.00012470316752933306,52,21,0.012719732541184994,0.00031146728163171123,0.7088542006329057,COMPLETE,0.00031146728163171123,0.012719732541184994,0.7088542006329057
3,0.000106203013274353,2025-01-25 00:43:49.633759,2025-01-25 00:47:10.341858,0 days 00:03:20.708099,64,0.19574117281491815,130,0.0007459529151249712,105,62,0.009252152115288672,0.00014419986138064294,0.8652083657379663,COMPLETE,0.00014419986138064294,0.009252152115288672,0.8652083657379663
4,7.927565457066521e-05,2025-01-25 00:47:10.384007,2025-01-25 00:52:48.704816,0 days 00:05:38.320809,32,0.4400842969599904,170,0.008383139523513343,71,17,0.012150738532725027,0.0001996217331924486,0.8134024582714211,COMPLETE,0.0001996217331924486,0.012150738532725027,0.8134024582714211
5,0.00014428440772462636,2025-01-25 00:52:48.778523,2025-01-25 00:58:47.225384,0 days 00:05:58.446861,64,0.2002611404687516,180,0.0003513256922748728,104,27,0.00957550424547048,0.0001623054812262331,0.8482840354026403,COMPLETE,0.0001623054812262331,0.00957550424547048,0.8482840354026403
6,6.74177281325683e-05,2025-01-25 00:58:47.319471,2025-01-25 01:04:20.302498,0 days 00:05:32.983027,16,0.17022564063281453,140,0.001476885285829827,32,45,0.006054576545422495,7.393647787987102e-05,0.9308874600184301,COMPLETE,7.393647787987102e-05,0.006054576545422495,0.9308874600184301
7,0.00017045813729055226,2025-01-25 01:04:20.384491,2025-01-25 01:07:46.402262,0 days 00:03:26.017771,16,0.12614400685142113,110,0.0001932706413482062,35,18,0.009607951892594021,0.00017045813754761752,0.840663293894191,COMPLETE,0.00017045813754761752,0.009607951892594021,0.840663293894191
8,0.0001975079212570563,2025-01-25 01:07:46.435089,2025-01-25 01:11:36.051142,0 days 00:03:49.616053,64,0.10308402029485274,200,0.00011540835968864984,76,30,0.010454293663863592,0.0001995852582991097,0.813436553383827,COMPLETE,0.0001995852582991097,0.010454293663863592,0.813436553383827
9,6.90618617227301e-05,2025-01-25 01:11:36.084868,2025-01-25 01:15:01.179557,0 days 00:03:25.094689,64,0.24655189197235675,130,0.009710546557149329,92,55,0.005934920697746334,6.906186854768444e-05,0.9354440286030556,COMPLETE,6.906186854768444e-05,0.005934920697746334,0.9354440286030556
10,0.00021523672330658883,2025-01-25 01:15:01.211752,2025-01-25 01:16:30.929398,0 days 00:01:29.717646,128,0.4154074252526413,110,0.0004673579375893884,61,16,0.01106239403760722,0.000218597369574216,0.7956648750686963,COMPLETE,0.000218597369574216,0.01106239403760722,0.7956648750686963
11,6.99561060173437e-05,2025-01-25 01:16:30.970343,2025-01-25 01:22:26.922052,0 days 00:05:55.951709,16,0.31661142245580015,160,0.003084798749437627,126,45,0.009822366468020968,0.00015043740249843775,0.8593777889746168,COMPLETE,0.00015043740249843775,0.009822366468020968,0.8593777889746168
12,6.620670319534838e-05,2025-01-25 01:22:26.949648,2025-01-25 01:26:02.611206,0 days 00:03:35.661558,16,0.1606352705154105,140,0.0021928090470643923,22,45,0.006487991283270536,7.527221129078887e-05,0.9296388756739504,COMPLETE,7.527221129078887e-05,0.006487991283270536,0.9296388756739504
13,7.220215775305405e-05,2025-01-25 01:26:02.639472,2025-01-25 01:28:37.907634,0 days 00:02:35.268162,16,0.28815314156165184,100,0.003249994833708891,18,45,0.0063473492924129475,7.907384742646587e-05,0.926085274840418,COMPLETE,7.907384742646587e-05,0.0063473492924129475,0.926085274840418
14,7.534253381891176e-05,2025-01-25 01:28:37.944742,2025-01-25 01:33:44.137205,0 days 00:05:06.192463,16,0.49990945640858586,150,0.003001735467764245,87,64,0.009287681536876787,0.00013923913280470982,0.8698454347717244,COMPLETE,0.00013923913280470982,0.009287681536876787,0.8698454347717244
15,7.197530794655904e-05,2025-01-25 01:33:44.163768,2025-01-25 01:36:21.267757,0 days 00:02:37.103989,32,0.1490916825180374,130,0.0015764788927054112,48,54,0.006093048256106333,7.500287978444098e-05,0.9298906348195647,COMPLETE,7.500287978444098e-05,0.006093048256106333,0.9298906348195647
