number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters,params_kernel_size,params_learning_rate,params_lstm_units1,params_lstm_units2,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
1,0.0008663319749757648,2025-01-24 21:21:06.106545,2025-01-24 21:23:32.720685,0 days 00:02:26.614140,128,0.4510093922980848,150,47,5,0.007900317373466305,105,42,1,0.02109706969687783,0.0008974637005304917,0.9461871082782897,COMPLETE,0.0008974637005304917,0.02109706969687783,0.9461871082782897
2,0.0007192928460426629,2025-01-24 21:23:32.751127,2025-01-24 21:25:05.540727,0 days 00:01:32.789600,64,0.15346849201506957,200,97,2,0.0014449801138331955,35,17,2,0.019815511706975215,0.0007615636851555847,0.9543358198172921,COMPLETE,0.0007615636851555847,0.019815511706975215,0.9543358198172921
3,0.0014659874141216278,2025-01-24 21:25:05.562308,2025-01-24 21:26:30.126670,0 days 00:01:24.564362,64,0.34409883024755006,140,34,4,0.00019669187601377013,121,61,3,0.029372445524265395,0.0015550959689454207,0.9067547679708245,COMPLETE,0.0015550959689454207,0.029372445524265395,0.9067547679708245
4,0.0007346378988586366,2025-01-24 21:26:30.164548,2025-01-24 21:28:07.098652,0 days 00:01:36.934104,64,0.3010646526591759,190,101,2,0.004023627534960056,100,27,3,0.01963701440263263,0.000751122690394263,0.9549618731275551,COMPLETE,0.000751122690394263,0.01963701440263263,0.9549618731275551
5,0.0018754062475636601,2025-01-24 21:28:07.122290,2025-01-24 21:29:15.065517,0 days 00:01:07.943227,128,0.46986247449312146,190,96,3,0.0003816302216998924,106,28,3,0.03551215583272883,0.002114122330535555,0.8732349442185663,COMPLETE,0.002114122330535555,0.03551215583272883,0.8732349442185663
6,0.0018212721915915608,2025-01-24 21:29:15.094823,2025-01-24 21:30:21.961372,0 days 00:01:06.866549,128,0.15488820347099536,110,35,2,0.0002047832087392821,88,20,1,0.034098493536409924,0.002024612127971788,0.8786020725332883,COMPLETE,0.002024612127971788,0.034098493536409924,0.8786020725332883
7,0.0007304539321921766,2025-01-24 21:30:21.987069,2025-01-24 21:32:17.259308,0 days 00:01:55.272239,16,0.21227270990100644,150,82,3,0.007575499941848979,46,30,2,0.02478244107738908,0.0011226883207144543,0.9326823970661718,COMPLETE,0.0011226883207144543,0.02478244107738908,0.9326823970661718
8,0.0007479812484234571,2025-01-24 21:32:17.285348,2025-01-24 21:35:48.098689,0 days 00:03:30.813341,16,0.4209356036684291,140,101,3,0.0008710478384373504,55,56,1,0.0196521467918258,0.0008066044446648333,0.951635127284433,COMPLETE,0.0008066044446648333,0.0196521467918258,0.951635127284433
9,0.0007424626965075731,2025-01-24 21:35:48.126374,2025-01-24 21:38:26.903625,0 days 00:02:38.777251,32,0.11555189537492933,190,16,5,0.007230701949922919,20,37,1,0.04443051958180538,0.002689817504005414,0.8387156405226814,COMPLETE,0.002689817504005414,0.04443051958180538,0.8387156405226814
10,0.0013777210842818022,2025-01-24 21:38:26.925852,2025-01-24 21:39:16.120669,0 days 00:00:49.194817,128,0.4936515312739611,120,37,3,0.0016182057300529295,101,22,2,0.0315532384478376,0.001695226448442665,0.8983523932389672,COMPLETE,0.001695226448442665,0.0315532384478376,0.8983523932389672
11,0.0007640725234523416,2025-01-24 21:39:16.145089,2025-01-24 21:40:18.978179,0 days 00:01:02.833090,64,0.21751621322561254,170,128,2,0.0016116356242285759,17,9,2,0.020016683183071624,0.0008283701547104421,0.9503300318279392,COMPLETE,0.0008283701547104421,0.020016683183071624,0.9503300318279392
12,0.0007204505382105708,2025-01-24 21:40:19.002746,2025-01-24 21:42:15.971136,0 days 00:01:56.968390,16,0.20822528190667208,170,74,4,0.00304987930635177,48,9,2,0.025129533491646403,0.0011376883989054475,0.931782976194852,COMPLETE,0.0011376883989054475,0.025129533491646403,0.931782976194852
13,0.0007206997834146023,2025-01-24 21:42:15.994081,2025-01-24 21:44:09.375904,0 days 00:01:53.381823,16,0.21157142023308464,170,71,4,0.0027524320591625776,48,8,2,0.02859360172922368,0.0012567086795054261,0.9246463917638289,COMPLETE,0.0012567086795054261,0.02859360172922368,0.9246463917638289
14,0.000735425972379744,2025-01-24 21:44:09.397349,2025-01-24 21:45:43.818254,0 days 00:01:34.420905,32,0.1591707771246398,200,66,4,0.0008847445997535496,34,16,2,0.0188558780894237,0.0007466873986919276,0.955227818003087,COMPLETE,0.0007466873986919276,0.0188558780894237,0.955227818003087
15,0.0007227468304336071,2025-01-24 21:45:43.838856,2025-01-24 21:48:02.408774,0 days 00:02:18.569918,16,0.26726142064946756,170,122,4,0.0031115593546672607,66,14,2,0.03781087757775192,0.0021385097747507885,0.871772646752777,COMPLETE,0.0021385097747507885,0.03781087757775192,0.871772646752777
16,0.000727777776774019,2025-01-24 22:28:37.055584,2025-01-24 22:29:29.203219,0 days 00:00:52.147635,64,0.10878960792041867,180,86,5,0.0005820909691892759,72,44,2,0.019197019971612644,0.0007584258956822421,0.95452396505935,COMPLETE,0.0007584258956822421,0.019197019971612644,0.95452396505935
17,0.0007375121931545436,2025-01-24 22:29:29.219593,2025-01-24 22:30:37.299802,0 days 00:01:08.080209,16,0.2658776126250808,200,61,2,0.0015495134319862944,34,12,3,0.019433002058668828,0.0007709618641264984,0.9537722948668745,COMPLETE,0.0007709618641264984,0.019433002058668828,0.9537722948668745
18,0.002222662325948477,2025-01-24 22:30:37.314641,2025-01-24 22:31:15.274927,0 days 00:00:37.960286,64,0.17163142552502034,160,113,3,0.00010102878186213273,33,21,2,0.03884983984377286,0.002566560548677161,0.8461062605411916,COMPLETE,0.002566560548677161,0.03884983984377286,0.8461062605411916
19,0.0007405870710499585,2025-01-24 22:31:15.289680,2025-01-24 22:31:53.766334,0 days 00:00:38.476654,32,0.36755443215383865,130,80,4,0.004583230549169393,56,51,3,0.021826017769515153,0.0008799788783949515,0.9472355170772161,COMPLETE,0.0008799788783949515,0.021826017769515153,0.9472355170772161
20,0.000791165279224515,2025-01-24 22:31:53.781249,2025-01-24 22:32:40.685990,0 days 00:00:46.904741,64,0.18351367108560385,100,57,5,0.002101927789549971,72,34,1,0.02089214983755577,0.0008525715247018362,0.9488788915733594,COMPLETE,0.0008525715247018362,0.02089214983755577,0.9488788915733594
21,0.0007408216479234397,2025-01-24 22:32:40.700453,2025-01-24 22:33:57.032067,0 days 00:01:16.331614,16,0.2594151790597665,180,112,2,0.0006237308346018772,28,17,2,0.023404291839063444,0.0009872396486110691,0.9408040455756775,COMPLETE,0.0009872396486110691,0.023404291839063444,0.9408040455756775
22,0.0007265309686772525,2025-01-24 22:33:57.046365,2025-01-24 22:35:14.998380,0 days 00:01:17.952015,16,0.22520714207176623,170,78,4,0.0025569786842363795,47,8,2,0.030224988839482922,0.0013818655401072282,0.9171418513753844,COMPLETE,0.0013818655401072282,0.030224988839482922,0.9171418513753844
23,0.0007059616618789732,2025-01-24 22:35:15.013045,2025-01-24 22:36:27.564923,0 days 00:01:12.551878,16,0.13579134305781437,160,88,4,0.004677014368878334,43,8,2,0.01977158211436274,0.0007666722587730558,0.9540295042317516,COMPLETE,0.0007666722587730558,0.01977158211436274,0.9540295042317516
24,0.0007090722792781889,2025-01-24 22:36:27.579620,2025-01-24 22:37:44.881342,0 days 00:01:17.301722,16,0.13197324769352226,160,94,4,0.004656251715777624,60,13,2,0.027037622815317915,0.00128874745584039,0.9227253121694226,COMPLETE,0.00128874745584039,0.027037622815317915,0.9227253121694226
25,0.000712251232471317,2025-01-24 22:37:44.895775,2025-01-24 22:39:02.539182,0 days 00:01:17.643407,16,0.1319561476002722,160,89,3,0.005335175478781897,61,24,2,0.02957308810033782,0.0014602932750647374,0.9124392397747673,COMPLETE,0.0014602932750647374,0.02957308810033782,0.9124392397747673
26,0.0007082384545356035,2025-01-24 22:39:02.554445,2025-01-24 22:40:21.141158,0 days 00:01:18.586713,16,0.12959133106803253,160,90,3,0.005506315394383696,63,24,2,0.019698926828155116,0.0007630458384354771,0.9542469483075935,COMPLETE,0.0007630458384354771,0.019698926828155116,0.9542469483075935
27,0.0007086506811901927,2025-01-24 22:40:21.155740,2025-01-24 22:42:35.810280,0 days 00:02:14.654540,16,0.10035123554391709,140,109,4,0.005958512228035619,85,13,1,0.025318572624684187,0.0011293326882191128,0.9322839936222486,COMPLETE,0.0011293326882191128,0.025318572624684187,0.9322839936222486
28,0.0007107600686140358,2025-01-24 22:42:35.824752,2025-01-24 22:44:48.736235,0 days 00:02:12.911483,16,0.10559616341590336,140,112,3,0.008741901509675746,82,32,1,0.02146071878431125,0.000844532980483681,0.9493608913571457,COMPLETE,0.000844532980483681,0.02146071878431125,0.9493608913571457
29,0.0007084396784193814,2025-01-24 22:44:48.750933,2025-01-24 22:46:52.998877,0 days 00:02:04.247944,16,0.1857151363884317,130,107,4,0.0059616530652741645,83,26,1,0.021846260892695382,0.0008370331301439824,0.9498105904748043,COMPLETE,0.0008370331301439824,0.021846260892695382,0.9498105904748043
30,0.0007345149060711265,2025-01-24 22:46:53.013879,2025-01-24 22:48:47.483795,0 days 00:01:54.469916,16,0.18927259691980564,120,106,5,0.008553027194322138,79,39,1,0.021482713695245823,0.0008750600846531862,0.9475304532566633,COMPLETE,0.0008750600846531862,0.021482713695245823,0.9475304532566633
