number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_filters1,params_filters2,params_kernel_size1,params_kernel_size2,params_learning_rate,params_pool_size,user_attrs_mae,user_attrs_mse,user_attrs_r2,state,mse,mae,r2
0,0.0008130125934258103,2025-01-24 18:42:35.061884,2025-01-24 18:42:50.365881,0 days 00:00:15.303997,32,0.15067615532637132,130,63,128,5,2,0.006382393786366803,3,0.048443621920062366,0.0031983170358108087,0.8029468407224021,COMPLETE,0.0031983170358108087,0.048443621920062366,0.8029468407224021
1,0.0006671880837529898,2025-01-24 18:42:50.383374,2025-01-24 18:43:05.003611,0 days 00:00:14.620237,16,0.12036025162094455,100,67,61,2,2,0.0022021423272864846,2,0.037572100956120943,0.0019937298798763407,0.8771632808202262,COMPLETE,0.0019937298798763407,0.037572100956120943,0.8771632808202262
2,0.0007231462514027953,2025-01-24 18:43:05.017479,2025-01-24 18:43:30.953177,0 days 00:00:25.935698,128,0.13418124440125023,200,95,128,3,3,0.0004306109230097765,1,0.02363340027080781,0.0009353147022243145,0.9423738438283485,COMPLETE,0.0009353147022243145,0.02363340027080781,0.9423738438283485
3,0.004929415415972471,2025-01-24 18:43:30.966775,2025-01-24 18:43:45.606640,0 days 00:00:14.639865,64,0.3735773369451145,160,54,68,2,5,0.00017962493517512958,2,0.07062116073446625,0.006036379786280877,0.6280894938907987,COMPLETE,0.006036379786280877,0.07062116073446625,0.6280894938907987
4,0.0006687667337246239,2025-01-24 18:43:45.620223,2025-01-24 18:44:12.061379,0 days 00:00:26.441156,32,0.34302077836030487,160,127,88,2,4,0.00038465672947491064,1,0.035401476359239535,0.0018714692923669854,0.8846959408892885,COMPLETE,0.0018714692923669854,0.035401476359239535,0.8846959408892885
5,0.0012315867934376001,2025-01-24 18:44:12.075351,2025-01-24 18:44:31.124447,0 days 00:00:19.049096,128,0.34849971335905294,200,121,108,2,4,0.001160827021797316,3,0.06956559485332582,0.005946894808344418,0.6336027989862065,COMPLETE,0.005946894808344418,0.06956559485332582,0.6336027989862065
6,0.0006982031627558172,2025-01-24 18:44:31.138279,2025-01-24 18:44:45.621304,0 days 00:00:14.483025,32,0.21102821504920322,110,100,111,2,4,0.0005889516247882411,2,0.04214905658978419,0.002514375670028794,0.8450855047069169,COMPLETE,0.002514375670028794,0.04214905658978419,0.8450855047069169
7,0.0024555553682148457,2025-01-24 18:44:45.640115,2025-01-24 18:44:54.911306,0 days 00:00:09.271191,64,0.1686440219200978,100,53,102,5,2,0.00012707115049543475,2,0.054351727011562434,0.0037420518281428704,0.7694465161959377,COMPLETE,0.0037420518281428704,0.054351727011562434,0.7694465161959377
8,0.0036532776430249214,2025-01-24 18:44:54.924825,2025-01-24 18:45:09.442532,0 days 00:00:14.517707,64,0.4357160160828969,170,86,33,2,2,0.00047768768388962757,3,0.0676260741288159,0.00576795430466252,0.6446275945829019,COMPLETE,0.00576795430466252,0.0676260741288159,0.6446275945829019
9,0.0006521781324408948,2025-01-24 18:45:09.456312,2025-01-24 18:45:30.290205,0 days 00:00:20.833893,32,0.1499224530437877,190,95,16,4,4,0.007571666469004081,3,0.0417422497197046,0.002283503216120449,0.8593099064542808,COMPLETE,0.002283503216120449,0.0417422497197046,0.8593099064542808
10,0.001380573259666562,2025-01-24 18:45:30.303968,2025-01-24 18:45:53.623480,0 days 00:00:23.319512,16,0.2501621966760088,180,24,19,4,5,0.008694929640280223,3,0.08661151868475074,0.008953286817666814,0.44837443143204403,COMPLETE,0.008953286817666814,0.08661151868475074,0.44837443143204403
11,0.0006264502881094813,2025-01-24 18:45:53.637038,2025-01-24 18:46:12.499320,0 days 00:00:18.862282,16,0.10165884826250562,130,77,54,4,3,0.002523176052217787,2,0.028607590776718612,0.0012958878986389435,0.9201583827878167,COMPLETE,0.0012958878986389435,0.028607590776718612,0.9201583827878167
12,0.0006404463201761246,2025-01-24 18:46:12.520819,2025-01-24 18:46:33.102502,0 days 00:00:20.581683,16,0.2518061752924805,130,84,47,4,3,0.0035073902999668703,1,0.019846566939195967,0.0007179846579869245,0.9557638771938374,COMPLETE,0.0007179846579869245,0.019846566939195967,0.9557638771938374
13,0.0006788389873690903,2025-01-24 18:46:33.116833,2025-01-24 18:46:53.220221,0 days 00:00:20.103388,16,0.26977781193664563,130,80,46,4,3,0.0028654334316665455,1,0.03253116476233253,0.0016222730881967186,0.9000492966579382,COMPLETE,0.0016222730881967186,0.03253116476233253,0.9000492966579382
14,0.0017522668931633234,2025-01-24 18:46:53.233455,2025-01-24 18:47:11.801746,0 days 00:00:18.568291,16,0.4603425749637168,130,35,48,3,3,0.0029656751217669187,1,0.22754736996876607,0.055736384088270044,-2.434003086100854,COMPLETE,0.055736384088270044,0.22754736996876607,-2.434003086100854
15,0.0006614896701648831,2025-01-24 18:47:12.104826,2025-01-24 18:47:37.228069,0 days 00:00:25.123243,16,0.20821680325284364,140,113,82,4,3,0.0015096209546324605,1,0.025071120012998178,0.0010266603752013856,0.9367458984918079,COMPLETE,0.0010266603752013856,0.025071120012998178,0.9367458984918079
16,0.0010945784160867333,2025-01-24 18:47:37.244372,2025-01-24 18:47:54.729065,0 days 00:00:17.484693,16,0.4990054692521343,120,77,56,5,3,0.00447710284974014,2,0.10199281865581321,0.011842937927735627,0.27033864758901904,COMPLETE,0.011842937927735627,0.10199281865581321,0.27033864758901904
17,0.0010423300554975867,2025-01-24 18:47:54.743212,2025-01-24 18:48:14.831015,0 days 00:00:20.087803,16,0.3100767783766814,150,45,34,3,3,0.004513268157525706,2,0.1285902160347465,0.018255351489317978,-0.124739869254757,COMPLETE,0.018255351489317978,0.1285902160347465,-0.124739869254757
18,0.0006295085768215358,2025-01-24 18:48:14.849275,2025-01-24 18:48:36.170370,0 days 00:00:21.321095,16,0.20203373206979988,120,108,75,4,4,0.0017475965001177377,1,0.023897251578185272,0.0009995929792179718,0.938413561776038,COMPLETE,0.0009995929792179718,0.023897251578185272,0.938413561776038
19,0.0007675348315387964,2025-01-24 18:48:36.183994,2025-01-24 18:48:50.245683,0 days 00:00:14.061689,128,0.10709314164146706,110,102,78,3,5,0.0017037494857451664,1,0.02303312330129299,0.0008718634744686917,0.9462831701238008,COMPLETE,0.0008718634744686917,0.02303312330129299,0.9462831701238008
20,0.0006717548822052777,2025-01-24 18:48:50.258772,2025-01-24 18:49:14.288047,0 days 00:00:24.029275,16,0.20218966480289619,150,110,94,5,4,0.0008486850494985271,2,0.0274843733005851,0.0012514512317764322,0.9228961931721472,COMPLETE,0.0012514512317764322,0.0274843733005851,0.9228961931721472
21,0.0006579450564458966,2025-01-24 18:49:14.301779,2025-01-24 18:49:33.981644,0 days 00:00:19.679865,16,0.2547054287595526,120,83,71,4,3,0.004202464594710911,1,0.03498584978626919,0.0019671266576710986,0.8788023456545784,COMPLETE,0.0019671266576710986,0.03498584978626919,0.8788023456545784
22,0.0006288216100074351,2025-01-24 18:49:33.995702,2025-01-24 18:49:56.383446,0 days 00:00:22.387744,16,0.18668210861657517,140,89,43,4,4,0.002399607168645886,1,0.02128302631059757,0.0008122626095733963,0.9499552697286224,COMPLETE,0.0008122626095733963,0.02128302631059757,0.9499552697286224
23,0.0007114369655027986,2025-01-24 18:49:56.397418,2025-01-24 18:50:19.539082,0 days 00:00:23.141664,16,0.18202936112427132,140,110,38,4,4,0.0008993690699432192,1,0.028561540907135828,0.001338094325804122,0.9175579808509243,COMPLETE,0.001338094325804122,0.028561540907135828,0.9175579808509243
24,0.0006283658440224826,2025-01-24 18:50:19.552591,2025-01-24 18:50:41.561545,0 days 00:00:22.008954,16,0.10190737894420022,140,72,59,4,4,0.0020074581403299774,1,0.020741464723656,0.0007579581048679265,0.9533010525560917,COMPLETE,0.0007579581048679265,0.020741464723656,0.9533010525560917
25,0.00068543606903404,2025-01-24 18:50:41.574824,2025-01-24 18:51:02.353936,0 days 00:00:20.779112,16,0.11062836101662962,140,70,59,3,5,0.00244211857026791,2,0.029219255093823445,0.001421425353658859,0.9124238299456928,COMPLETE,0.001421425353658859,0.029219255093823445,0.9124238299456928
26,0.0007302105659618974,2025-01-24 18:51:02.368187,2025-01-24 18:51:25.987963,0 days 00:00:23.619776,16,0.1067440007644346,160,58,27,5,4,0.001217178738972138,1,0.04455441094974517,0.00295264636961771,0.8180829827537094,COMPLETE,0.00295264636961771,0.04455441094974517,0.8180829827537094
27,0.0006233969470486045,2025-01-24 18:51:26.002794,2025-01-24 18:51:37.910815,0 days 00:00:11.908021,128,0.15686988508385583,140,74,54,4,4,0.005539147541125742,2,0.06282879606650316,0.004843258338616053,0.7015995143270974,COMPLETE,0.004843258338616053,0.06282879606650316,0.7015995143270974
28,0.000670643406920135,2025-01-24 18:51:37.924304,2025-01-24 18:51:50.782219,0 days 00:00:12.857915,128,0.14458489185611448,150,74,54,3,5,0.005528548125281225,2,0.019855085481983913,0.0006778892504108285,0.958234216014826,COMPLETE,0.0006778892504108285,0.019855085481983913,0.958234216014826
29,0.0007495442405343056,2025-01-24 18:51:50.795610,2025-01-24 18:52:04.177700,0 days 00:00:13.382090,128,0.15557885927839696,170,61,67,5,2,0.006225077311274866,2,0.05031930369744172,0.003438900583814267,0.7881241237517322,COMPLETE,0.003438900583814267,0.05031930369744172,0.7881241237517322
